date,state,daily
6/20/21,Terengganu,5409
6/20/21,W.P. Kuala Lumpur,27366
6/20/21,W.P. Labuan,1772
6/20/21,W.P. Putrajaya,0
6/21/21,Johor,16858
6/21/21,Kedah,10407
6/21/21,Kelantan,9936
6/21/21,Melaka,6424
6/21/21,Negeri Sembilan,6527
6/21/21,Pahang,7762
6/21/21,Perak,10892
6/21/21,Perlis,3790
6/21/21,Pulau Pinang,12984
6/21/21,Sabah,10218
6/21/21,Sarawak,64652
6/21/21,Selangor,35425
6/21/21,Terengganu,6174
6/21/21,W.P. Kuala Lumpur,38096
6/21/21,W.P. Labuan,2649
6/21/21,W.P. Putrajaya,1596
6/22/21,Johor,17292
6/22/21,Kedah,11222
6/22/21,Kelantan,11118
6/22/21,Melaka,6870
6/22/21,Negeri Sembilan,8986
6/22/21,Pahang,9177
6/22/21,Perak,11658
6/22/21,Perlis,3748
6/22/21,Pulau Pinang,13994
6/22/21,Sabah,11228
6/22/21,Sarawak,59853
6/22/21,Selangor,41351
6/22/21,Terengganu,6957
6/22/21,W.P. Kuala Lumpur,40520
6/22/21,W.P. Labuan,3053
6/22/21,W.P. Putrajaya,1754
6/23/21,Johor,18145
6/23/21,Kedah,11625
6/23/21,Kelantan,11069
6/23/21,Melaka,7182
6/23/21,Negeri Sembilan,8938
6/23/21,Pahang,8915
6/23/21,Perak,11289
6/23/21,Perlis,3731
6/23/21,Pulau Pinang,14228
6/23/21,Sabah,13676
6/23/21,Sarawak,60594
6/23/21,Selangor,43161
6/23/21,Terengganu,7385
6/23/21,W.P. Kuala Lumpur,39225
6/23/21,W.P. Labuan,2744
6/23/21,W.P. Putrajaya,1750
6/24/21,Johor,17688
6/24/21,Kedah,12439
6/24/21,Kelantan,10629
6/24/21,Melaka,8327
6/24/21,Negeri Sembilan,9533
6/24/21,Pahang,8967
6/24/21,Perak,13281
6/24/21,Perlis,3211
6/24/21,Pulau Pinang,14397
6/24/21,Sabah,15270
6/24/21,Sarawak,65511
6/24/21,Selangor,46455
6/24/21,Terengganu,6592
6/24/21,W.P. Kuala Lumpur,39378
6/24/21,W.P. Labuan,2707
6/24/21,W.P. Putrajaya,1931
6/25/21,Johor,9028
6/25/21,Kedah,4477
6/25/21,Kelantan,748
6/25/21,Melaka,9129
6/25/21,Negeri Sembilan,8001
6/25/21,Pahang,7036
6/25/21,Perak,10238
6/25/21,Perlis,2555
6/25/21,Pulau Pinang,14079
6/25/21,Sabah,15993
6/25/21,Sarawak,57752
6/25/21,Selangor,44261
6/25/21,Terengganu,93
6/25/21,W.P. Kuala Lumpur,34041
6/25/21,W.P. Labuan,2396
6/25/21,W.P. Putrajaya,1751
6/26/21,Johor,15423
6/26/21,Kedah,3324
6/26/21,Kelantan,1571
6/26/21,Melaka,7774
6/26/21,Negeri Sembilan,2287
6/26/21,Pahang,6102
6/26/21,Perak,7008
6/26/21,Perlis,1255
6/26/21,Pulau Pinang,10833
6/26/21,Sabah,15359
6/26/21,Sarawak,55068
6/26/21,Selangor,37393
6/26/21,Terengganu,6641
6/26/21,W.P. Kuala Lumpur,24445
6/26/21,W.P. Labuan,2012
6/26/21,W.P. Putrajaya,25
6/27/21,Johor,14147
6/27/21,Kedah,10879
6/27/21,Kelantan,8924
6/27/21,Melaka,599
6/27/21,Negeri Sembilan,2130
6/27/21,Pahang,4435
6/27/21,Perak,7402
6/27/21,Perlis,2198
6/27/21,Pulau Pinang,3010
6/27/21,Sabah,10506
6/27/21,Sarawak,51145
6/27/21,Selangor,28626
6/27/21,Terengganu,7057
6/27/21,W.P. Kuala Lumpur,24636
6/27/21,W.P. Labuan,1383
6/27/21,W.P. Putrajaya,13
6/28/21,Johor,8646
6/28/21,Kedah,7976
6/28/21,Kelantan,6283
6/28/21,Melaka,3064
6/28/21,Negeri Sembilan,7745
6/28/21,Pahang,7741
