date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
6/10/21,Johor,14328,4564,18892,0,0,267041,118024,385065,0,0,9876,3599,1788,965,2664,0,0,0
6/10/21,Kedah,6237,3730,9967,0,0,192715,79364,272079,0,0,4287,1462,1930,2266,20,0,0,2
6/10/21,Kelantan,7102,3656,10758,0,0,145910,65501,211411,0,0,3792,3310,3298,346,12,0,0,0
6/10/21,Melaka,2393,623,3016,0,0,71699,37645,109344,0,0,705,430,1616,193,72,0,0,0
6/10/21,Negeri Sembilan,4747,1439,6186,0,0,101696,63084,164780,1,0,2094,1250,2554,189,98,0,0,1
6/10/21,Pahang,5026,2737,7763,0,0,141841,86323,228164,0,0,4136,1478,874,1259,16,0,0,0
6/10/21,Perak,5552,4717,10269,0,0,223238,115589,338827,0,0,4313,1915,1237,2801,1,0,0,2
6/10/21,Perlis,1620,1035,2655,0,0,42265,21825,64090,0,0,1594,1022,26,13,0,0,0,0
6/10/21,Pulau Pinang,8052,2186,10238,0,0,138003,77641,215644,0,0,2677,2049,2382,137,2993,0,0,0
6/10/21,Sabah,9942,3810,13752,0,0,216877,104364,321241,5,0,8233,2953,1648,856,0,0,0,62
6/10/21,Sarawak,6024,2095,8119,1,0,271974,135331,407305,1,0,390,1745,2133,350,3501,0,0,0
6/10/21,Selangor,19333,7854,27187,0,0,416436,163530,579966,1,0,5632,5590,10409,2264,3292,0,0,0
6/10/21,Terengganu,1152,2698,3850,0,0,94278,59294,153572,0,0,694,2522,94,171,363,0,0,6
6/10/21,W.P. Kuala Lumpur,20940,4883,25823,1,0,491793,121446,613239,4,0,2921,2665,9431,2216,8586,0,0,4
6/10/21,W.P. Labuan,618,16,634,0,0,17392,13190,30582,0,0,310,13,308,3,0,0,0,0
6/10/21,W.P. Putrajaya,441,1205,1646,0,0,28981,15672,44653,0,0,300,690,141,514,0,0,0,1
6/11/21,Johor,5304,598,5902,0,0,272345,118622,390967,0,0,1247,6,1399,592,2658,0,0,0
6/11/21,Kedah,1606,688,2294,0,0,194321,80052,274373,0,0,566,19,1027,669,0,0,0,13
6/11/21,Kelantan,537,20,557,0,0,146447,65521,211968,0,0,96,0,441,20,0,0,0,0
6/11/21,Melaka,2186,684,2870,0,0,73885,38329,112214,0,0,292,518,1810,166,84,0,0,0
6/11/21,Negeri Sembilan,3855,1038,4893,0,0,105551,64122,169673,1,0,1083,1016,2680,22,91,0,0,1
6/11/21,Pahang,3678,2331,6009,0,0,145519,88654,234173,0,0,2657,377,1017,1952,3,0,0,3
6/11/21,Perak,5084,6466,11550,1,0,228322,122055,350377,1,0,4455,2288,550,4177,77,0,0,3
6/11/21,Perlis,995,493,1488,0,0,43260,22318,65578,0,0,658,493,337,0,0,0,0,0
6/11/21,Pulau Pinang,9098,995,10093,0,0,147101,78636,225737,0,0,2917,888,3123,107,3057,0,0,1
6/11/21,Sabah,10686,3027,13713,0,0,227563,107391,334954,5,0,8671,2570,2014,457,0,0,0,1
6/11/21,Sarawak,9648,2897,12545,0,0,281622,138228,419850,1,0,1368,2812,4657,84,3623,0,0,1
6/11/21,Selangor,20165,5345,25510,0,0,436601,168875,605476,1,0,4775,3986,10737,1357,4653,1,0,1
6/11/21,Terengganu,182,0,182,0,0,94460,59294,153754,0,0,181,0,0,0,1,0,0,0
6/11/21,W.P. Kuala Lumpur,22325,4330,26655,0,0,514118,125776,639894,4,0,1516,2796,10665,1533,10144,0,0,1
6/11/21,W.P. Labuan,381,98,479,0,0,17773,13288,31061,0,0,160,16,221,82,0,0,0,0
6/11/21,W.P. Putrajaya,397,1166,1563,0,0,29378,16838,46216,0,0,266,826,131,340,0,0,0,0
